Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
36489.0,-97.16796875,-1000.0,911.1328125,-75.68359375,0.0,1762643271.2552385,0.0
36489.0,-138.18359375,-1000.0,961.42578125,-68.359375,0.0,1762643271.2590377,0.0
36489.0,-145.99609375,-925.78125,307.6171875,-98.6328125,0.0,1762643271.262837,0.0
36489.0,-118.1640625,-1000.0,-84.47265625,-114.2578125,0.0,1762643271.2666364,0.0
36489.0,-47.8515625,-541.9921875,540.0390625,-55.6640625,0.0,1762643271.2704358,0.0
36489.0,7.32421875,891.6015625,984.86328125,10.25390625,0.0,1762643271.274235,0.0
36489.0,-19.04296875,-990.72265625,984.375,-5.37109375,0.0,1762643271.2780342,0.0
36489.0,-25.390625,913.57421875,847.16796875,-45.41015625,0.0,1762643271.2818336,0.0
36489.0,-30.2734375,981.93359375,626.953125,-50.29296875,0.0,1762643271.285633,0.0
36489.0,-59.5703125,966.796875,859.86328125,-34.66796875,0.0,1762643271.2894323,0.0
36489.0,-104.98046875,974.12109375,622.55859375,-59.08203125,0.0,1762643271.2932315,0.0
36489.0,-95.21484375,937.98828125,69.3359375,-93.75,0.0,1762643271.297031,0.0
36490.0,-51.7578125,957.03125,183.10546875,-86.9140625,0.0,1762643271.3010433,0.0
36490.0,-53.22265625,-986.81640625,825.1953125,-41.9921875,0.0,1762643271.3050559,0.0
36490.0,-164.0625,-244.62890625,350.5859375,-64.94140625,0.0,1762643271.3090682,0.0
36490.0,-194.82421875,-1000.0,-694.82421875,-137.6953125,0.0,1762643271.3130805,0.0
36490.0,-114.74609375,-939.94140625,-606.4453125,-135.25390625,0.0,1762643271.3170931,0.0
36490.0,-77.63671875,-1000.0,168.9453125,-72.75390625,0.0,1762643271.3211055,0.0
36490.0,-64.94140625,-928.7109375,810.546875,-20.99609375,0.0,1762643271.3251178,0.0
36490.0,-134.765625,-1000.0,-312.5,-95.703125,0.0,1762643271.3291304,0.0
36490.0,-62.01171875,-417.48046875,-508.30078125,-115.234375,0.0,1762643271.3331428,0.0
36490.0,60.546875,959.47265625,665.0390625,-13.671875,0.0,1762643271.337155,0.0
36490.0,15.13671875,984.86328125,-977.5390625,23.4375,0.0,1762643271.3411677,0.0
36490.0,-24.4140625,923.828125,737.79296875,-2.9296875,0.0,1762643271.34518,0.0
36491.0,-42.96875,979.4921875,124.51171875,-52.24609375,0.0,1762643271.3487756,0.0
36491.0,-36.1328125,967.28515625,131.34765625,-66.89453125,0.0,1762643271.352371,0.0
36491.0,-26.85546875,967.28515625,761.23046875,-22.94921875,0.0,1762643271.3559666,0.0
36491.0,-60.546875,966.796875,490.234375,-15.625,0.0,1762643271.359562,0.0
36491.0,-66.40625,976.5625,-256.8359375,-76.66015625,0.0,1762643271.3631575,0.0
36491.0,-15.13671875,929.19921875,193.84765625,-75.68359375,0.0,1762643271.366753,0.0
36491.0,-7.32421875,978.02734375,933.59375,-20.5078125,0.0,1762643271.3703485,0.0
36491.0,-62.5,957.51953125,803.22265625,-12.20703125,0.0,1762643271.373944,0.0
36491.0,-148.92578125,-361.328125,-377.44140625,-82.03125,0.0,1762643271.3775394,0.0
36491.0,-145.99609375,-1000.0,-937.98828125,-132.8125,0.0,1762643271.381135,0.0
36491.0,-91.796875,-935.546875,-378.90625,-81.54296875,0.0,1762643271.3847303,0.0
36491.0,-55.17578125,-1000.0,606.4453125,-7.32421875,0.0,1762643271.388326,0.0
36492.0,-87.40234375,-1000.0,187.5,-42.96875,0.0,1762643271.392057,0.0
36492.0,-116.2109375,-1000.0,-798.33984375,-115.234375,0.0,1762643271.3957877,0.0
36492.0,-65.91796875,-1000.0,-346.6796875,-79.1015625,0.0,1762643271.3995187,0.0
36492.0,-41.015625,-928.22265625,489.74609375,-11.23046875,0.0,1762643271.4032495,0.0
36492.0,-83.984375,-1000.0,172.8515625,-24.4140625,0.0,1762643271.4069805,0.0
